MVD,Group
18.68325088,MTD
10.2294341,MTD
6.40270266,MTD
5.92967719,MTD
2.897660613,MTD
7.417553954,MTD
12.58213945,MTD
1.576530526,MTD
9.466613712,MTD
5.20614404,MTD
2.69771894,MTD
8.306934791,MTD
9.482704159,MTD
5.804393102,MTD
8.322064707,MTD
10.37054007,MTD
6.631215145,MTD
3.629312875,MTD
3.941961547,MTD
3.105321515,MTD
3.419255014,MTD
9.043092643,MTD
14.13664089,MTD
11.40552425,MTD
8.03529872,MTD
6.198419589,MTD
18.41869745,MTD
14.22261911,MTD
14.2094917,MET
9.81885,MET
16.6603,MET
20.8847,MET
38.20795385,MET
25.7137,MET
38.3978,MET
28.9912,MET
31.52337192,MET
21.5541,MET
18.25783476,MET
42.6859,MET
30.87660741,MET
11.04561864,MET
29.04522476,CG
30.288,CG
28.6111,CG
25.1149,CG
28.5844,CG
8.503575926,CG
17.05139251,CG
44.478,CG
10.3653815,CG
19.2301,CG
22.7942,CG
32.8083,CG
22.7272,CG
